explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
AutoStep MALA,funnel2,1,-0.23331458672626051,0.6739898058932904,1.6789590009999997,0.0,484645,969290,77.5804201326231,7.367188964345467,0.6598923136004619,0.1875,15,-0.0006238127863682145
adaptive MALA,funnel2,1,-0.036134369106524136,0.00028351538916794204,1.814984165,0.0,131068,65534,85.47826152918489,5.512936656933373,0.71435546875,0.1,15,0.2527282493908644
NUTS,funnel2,1,20208.579288468565,8.165204674080888e8,3.48051746,0.0,131068,597660,66.77476866607108,1.1428491568245993,0.5925923954189716,0.33858764779830186,15,0.4886861066163579
DRHMC,funnel2,1,-0.5165812525686452,0.4782202752419593,37.36791075,0.0,64332,566585,68.36343283879208,7.886750012314137,0.976715087890625,0.1,15,0.5364011932378207
AutoStep MALA,funnel2,2,-0.2978172671025531,0.6203866822496624,0.84715429,0.0,477038,954076,84.92254822691498,7.015537271558696,0.6600683507138365,0.1875,15,0.002024049196778663
adaptive MALA,funnel2,2,-0.058496234112470485,0.006022865183367495,0.26057654,0.0,131068,65534,74.22273245402836,5.525584581337988,0.506378173828125,0.1,15,0.17946408425280502
NUTS,funnel2,2,-108.54353795262043,24251.71344066987,2.519597877,0.0,131068,1161098,88.65094090547188,1.62521987119683,0.9018633638534039,0.019297632428997503,15,0.41123545581422855
DRHMC,funnel2,2,1.9999612955767976,1.5828136648481523,49.505047251,0.0,47772,504775,75.09980535536758,4.262578641922274,0.9884033203125,0.1,15,0.19406326008619512
AutoStep MALA,funnel2,3,-0.1902520959391499,0.6926871008399531,2.047150667,0.0,768297,1536594,72.48824171652714,7.881321975316914,0.6716485324636601,0.1875,15,-0.0001618052788043856
adaptive MALA,funnel2,3,-0.08101599665795904,5.7599607198775074e-5,0.261359125,0.0,131068,65534,78.87300381687297,5.74895268805908,0.769012451171875,0.1,15,0.26835451210031724
NUTS,funnel2,3,-27506.932837488053,1.5136376602518299e9,1.6748737519999999,0.0,131068,506811,91.92292275104572,1.1636406052922845,0.5692964830108722,0.39426925388132184,15,0.525184842472989
DRHMC,funnel2,3,-0.7488502983687267,1.1511087181260364,53.017464165999996,0.0,31032,442740,NaN,1.5744475156121212,0.999908447265625,0.1,15,0.0
AutoStep MALA,funnel2,4,0.16106454222190253,0.6282967010172672,1.70615504,0.0,782761,1565522,67.71172743396006,7.259922033172129,0.6634823098021643,0.1875,15,0.0015084730611433696
adaptive MALA,funnel2,4,-0.05770822983011666,0.01697489534413847,0.26876433499999997,0.0,131068,65534,68.60403139169618,6.854516796072512,0.67376708984375,0.1,15,0.19948547162986383
NUTS,funnel2,4,-8.822796217623598,250.26523478961607,2.6259706229999997,0.0,131068,552823,67.3083242927022,1.8133881138479193,0.4798900701183168,0.4350513801198971,15,0.44868234913030175
DRHMC,funnel2,4,-6.9353472077693095,118.72507397443351,37.279272875000004,0.0,58200,543675,94.76776557914656,6.613911337866238,0.971343994140625,0.1,15,0.4326831981470883
AutoStep MALA,funnel2,5,0.3804910100551147,0.7881717836659666,1.2576627070000002,0.0,524273,1048546,66.40161328808492,7.378921075587613,0.6573871034319041,0.28125,15,0.0011442795568311647
adaptive MALA,funnel2,5,-0.02005964250618293,0.05385320019613536,0.29780524900000005,0.0,131068,65534,66.4983244715957,2.435307930418163,0.944244384765625,0.1,15,0.25717305587195366
NUTS,funnel2,5,9894.219575738827,1.9567931147306815e8,2.020509836,0.0,131068,742057,69.58572610801194,1.3858675799611972,0.6641613240284708,0.2932828235345008,15,0.5106064638619343
DRHMC,funnel2,5,0.13260283325998942,0.0010895234380648609,36.749018627,0.0,68544,582315,73.05519514106525,7.606627635365186,0.970733642578125,0.1,15,0.5694490750629991
AutoStep MALA,funnel2,6,-0.44369682834228713,0.7225203748756014,1.0907443319999999,0.0,641063,1282126,78.29949989992153,7.054810811435428,0.6878230819576425,0.09375,15,0.0006410682054745259
adaptive MALA,funnel2,6,-0.031171646571054062,1.3701273730758398e-6,0.278681419,0.0,131068,65534,78.1293260893137,6.600199234620261,0.817718505859375,0.1,15,0.25780262856086267
NUTS,funnel2,6,48.80004661642846,4414.732803308694,2.9857358759999997,0.0,131068,1417344,98.50418559789001,2.7715657167072396,0.8995137011662897,0.04169866825524324,15,0.506500154659876
DRHMC,funnel2,6,-0.7181900886507575,1.0880971213390085,46.446797749,0.0,59796,549625,78.82447687968418,6.151133505563108,0.9765625,0.1,15,0.36667218240847
AutoStep MALA,funnel2,7,-0.3850769861534923,1.6689850211510684,0.9893502489999999,0.0,510683,1021366,66.66486170805491,11.715885002844166,0.6544207616551136,0.09375,15,0.0010119860529572687
adaptive MALA,funnel2,7,-0.060608548712607305,0.002055170854684287,0.299407086,0.0,131068,65534,88.41038060872282,5.421831450512125,0.710784912109375,0.1,15,0.2522371363059988
NUTS,funnel2,7,-153.6267105288516,48974.64367534077,2.355774167,0.0,131068,1068686,88.79362111362195,1.8039229294825665,0.8942068041117754,0.039112270430975274,15,0.5048892550881052
DRHMC,funnel2,7,-0.704644498174424,0.9315950456011108,39.936498915,0.0,70260,588780,71.7658630580692,7.753013134441397,0.973876953125,0.1,15,0.5010882008170929
AutoStep MALA,funnel2,8,0.35323332966927246,0.9261828291610236,1.3057719570000001,0.0,465982,931964,66.83270566585773,5.768142840618069,0.667718720549171,0.1875,15,0.0005578253874198522
adaptive MALA,funnel2,8,-0.045079780857948955,0.0013259974171856222,0.307745624,0.0,131068,65534,65.80450163683132,4.3405993357944554,0.813262939453125,0.1,15,0.22579403902533438
NUTS,funnel2,8,2.2760316297034263e6,1.0360593186869932e13,2.297886499,0.0,131068,1115117,100.6675882339137,1.232529063799272,0.9229925907306672,0.030313294593982586,15,0.3897987378590273
DRHMC,funnel2,8,12.540723446695004,269.76681283929406,25.499152543,0.0,22940,412795,65.89464103268915,0.9700436283032386,0.999969482421875,0.1,15,0.48320221265944957
AutoStep MALA,funnel2,9,0.3447021081919285,1.30483169724648,1.077695334,0.0,474439,948878,66.2488714743688,4.40508154310812,0.66363523579734,0.1875,15,0.001584279524285684
adaptive MALA,funnel2,9,-0.025682353910449582,0.010303356577974192,0.271686458,0.0,131068,65534,72.98708713505253,5.928984430744445,0.6458740234375,0.1,15,0.217722365810678
NUTS,funnel2,9,0.020832340878098987,0.03033731395336358,2.247384957,0.0,131068,710977,114.57598202216228,2.8411674435641405,0.7394829815159082,0.22141669059099175,15,0.5653007633612852
DRHMC,funnel2,9,-0.6224667410837089,0.7968889625188192,41.769873251,0.0,76728,612955,79.43322648845147,6.493742700565186,0.9713134765625,0.1,15,0.551673599271361
AutoStep MALA,funnel2,10,-1.8084287661504355,0.4069009994685018,1.145412833,0.0,518119,1036238,68.62173827691498,2.1725132241698106,0.7075770344550081,0.002197265625,15,0.0008534639937351363
adaptive MALA,funnel2,10,0.035034099137192055,0.0008118524195037316,0.269530457,0.0,131068,65534,87.09482229810438,5.422273281426982,0.63787841796875,0.1,15,0.21790439217587745
NUTS,funnel2,10,4754.550422022283,4.516275001647735e7,1.774400376,0.0,131068,702313,77.17444609873533,1.1858869013894866,0.5170048325271719,0.2350478849458678,15,0.48661080918986305
DRHMC,funnel2,10,-15.210739914777362,522.5043357007548,24.997150544,0.0,44200,491845,66.98423667193677,6.411905402214265,0.98321533203125,0.1,15,0.5365787110537543
AutoStep RWMH (precond),funnel2,1,0.27108495350076756,1.0789912897643477,0.383224712,0.0,496443,0,83.70910652757,10.028000420346281,0.5302325357979005,0.087890625,15,0.0001505530182823494
AutoStep MALA (precond),funnel2,1,0.0071999925986274416,0.7851794909640261,1.583566582,0.0,508367,1016734,83.80314679975174,8.554493436633274,0.66521582609625,0.1875,15,0.0002100625228466899
AutoStep RWMH,funnel2,1,1.3454805947053403,0.6600185071066542,0.38025512400000006,0.0,809549,0,67.77671307031667,3.8622972871844627,0.6067084311479939,0.1171875,15,-0.00035175408451213337
adaptive RWMH,funnel2,1,13.975564103741984,342.69443407126755,0.8724609990000001,0.0,131068,0,66.53940991235491,1.7641804528772813,0.2685934018982513,0.0,15,0.19927515082194042
AutoStep RWMH (precond),funnel2,2,-0.7269225919029529,1.1952819177489096,0.313666168,0.0,695115,0,73.63688606779877,9.817096869531493,0.42184304109219367,0.012451171875,15,-1.6395993483862473e-5
AutoStep MALA (precond),funnel2,2,0.0,0.0,725.6079231690001,0.0,196608,393216,NaN,3.0181801032211624,NaN,0.25,15,0.0
AutoStep RWMH,funnel2,2,-1.869079770148698,1.7380672603472376,0.5369573320000001,0.0,942791,0,66.7581747411647,4.698000311161343,0.3027591805634772,0.000583648681640625,15,0.0004902053562162466
adaptive RWMH,funnel2,2,-1.0459739339690493,2.1948421163490153,0.165359581,0.0,131068,0,87.70009269571119,6.738971545846826,0.14859462263863032,0.0,15,0.13697263022048306
AutoStep RWMH (precond),funnel2,3,-0.12828991573050047,1.3644831978871024,0.974677126,0.0,595462,0,74.82853780242628,12.488374040482487,0.5213581401076945,0.033203125,15,-2.1870316702736036e-5
AutoStep MALA (precond),funnel2,3,0.0,0.0,726.6653492519999,0.0,196606,393212,NaN,3.0181801032211624,NaN,0.375,15,0.0
AutoStep RWMH,funnel2,3,2.193196788861139,0.1384331897341586,0.264391793,0.0,515715,0,67.22661722195694,1.683654259053792,0.6116458459357157,0.15625,15,-9.605234518642821e-5
adaptive RWMH,funnel2,3,0.7116443016957307,0.2289569001820984,0.189488666,0.0,131068,0,88.02367918741946,7.492246144692182,0.15063936277352213,0.0,15,0.13832028188458456
AutoStep RWMH (precond),funnel2,4,0.09027330855812513,1.843630957375761,0.318880332,0.0,590919,0,74.61872160587495,13.619478620376253,0.4700964049916431,0.140625,15,-7.070799864036911e-5
AutoStep MALA (precond),funnel2,4,0.0,0.0,735.290317709,0.0,196608,393216,NaN,3.0181801032211624,NaN,0.25,15,0.0
AutoStep RWMH,funnel2,4,0.08495506714184638,0.827733736696002,0.235824166,0.0,445331,0,73.46624053963743,10.150157621324144,0.5546977971024769,0.10546875,15,-0.0001399181368412001
adaptive RWMH,funnel2,4,-10.807806463794616,282.75339554053414,0.1322485,0.0,131068,0,71.28327711759017,7.138209589372661,0.10522782067323833,0.0,15,0.09393043031335795
AutoStep RWMH (precond),funnel2,5,0.9166736301194344,2.4976156549819697,0.29177628999999994,0.0,590863,0,68.15512935912521,10.67654972523638,0.5181953814932746,0.10546875,15,-7.554030467115094e-5
AutoStep MALA (precond),funnel2,5,0.22613704769529175,0.8755898375115878,1.350776249,0.0,512742,1025484,109.56753652553125,8.011814627069885,0.6639467586799115,0.17578125,15,0.0002935667337406216
AutoStep RWMH,funnel2,5,-0.04482355164012086,0.7758382736461881,0.691854415,0.0,498039,0,88.8261648585231,9.31691576885358,0.5655055904775672,0.0703125,15,-6.108724530509437e-5
adaptive RWMH,funnel2,5,0.09970670947566662,0.005115733162441535,0.146819917,0.0,131068,0,80.84145891560031,7.501716935407092,0.15817743461409345,0.0,15,0.14574400413881064
